vendorid,pickup_datetime,dropoff_datetime,Store_and_fwd_flag,rate_code,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Improvement_surcharge,Total_amount,Payment_type,Trip_type
2,11/03/2015 01:08:08 PM,11/03/2015 01:16:28 PM,N,1,-73.98075866699219,40.68087387084961,-73.99363708496092,40.68701553344727,2,1.13,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2,1.0
2,01/05/2015 07:42:54 PM,01/05/2015 07:49:48 PM,N,1,-73.95696258544923,40.72993087768555,-73.95038604736328,40.71407318115234,1,1.57,7.5,1.0,0.5,0.0,0.0,,0.3,9.3,2,1.0
1,07/07/2015 02:35:42 PM,07/07/2015 02:43:22 PM,N,1,-73.86085510253906,40.83438873291016,-73.85206604003906,40.8341178894043,1,1.3,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2,1.0
2,05/07/2015 11:10:38 PM,05/07/2015 11:18:15 PM,N,1,-73.89076232910156,40.74648666381836,-73.87834167480467,40.75626754760742,1,1.35,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2,1.0
1,12/31/2015 01:37:58 PM,12/31/2015 01:53:39 PM,N,1,-73.9504623413086,40.65889358520508,-73.97827911376953,40.667816162109375,1,2.5,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,1,1.0
2,06/22/2015 07:22:22 PM,06/22/2015 07:30:10 PM,N,1,-73.94898223876953,40.80294036865234,-73.95999908447266,40.81393051147461,1,1.25,7.0,1.0,0.5,0.0,0.0,,0.3,8.8,2,1.0
2,05/02/2015 02:37:26 AM,05/02/2015 02:38:43 AM,N,1,-73.89588928222656,40.74638366699219,-73.89227294921875,40.746673583984375,1,0.16,3.0,0.5,0.5,0.0,0.0,,0.3,4.3,2,1.0
2,03/23/2015 11:55:00 PM,03/23/2015 11:56:08 PM,N,1,-73.955322265625,40.73626327514648,-73.95433044433594,40.73085784912109,1,0.29,3.0,0.5,0.5,0.0,0.0,,0.3,4.3,2,1.0
2,03/15/2015 02:19:25 AM,03/15/2015 02:41:16 AM,N,1,-74.01231384277344,40.64659881591797,-73.96459197998048,40.652923583984375,1,5.19,19.5,0.5,0.5,0.0,0.0,,0.3,20.8,2,1.0
2,11/21/2015 12:09:31 AM,11/21/2015 12:22:13 AM,N,1,-73.92967987060547,40.756393432617195,-73.97806549072266,40.763580322265625,1,3.21,12.5,0.5,0.5,0.0,0.0,,0.3,13.8,2,1.0
2,09/05/2015 12:12:46 PM,09/05/2015 12:22:40 PM,N,1,-73.972900390625,40.68967819213867,-73.99041748046875,40.70322036743164,1,1.87,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2,1.0
2,12/25/2015 07:41:04 AM,12/25/2015 07:57:11 AM,N,1,-73.86714935302734,40.749420166015625,-73.75621795654298,40.723411560058594,1,8.65,25.5,0.0,0.5,0.0,0.0,,0.3,26.3,2,1.0
2,06/05/2015 03:45:37 PM,06/05/2015 04:08:39 PM,N,1,-73.96690368652342,40.804141998291016,-73.97531127929686,40.7772331237793,1,2.26,16.0,0.0,0.5,1.0,0.0,,0.3,17.8,1,1.0
